	10025.Healthy	10036.Healthy	10037.Healthy	10048.Healthy	10058.Healthy	10060.Healthy	10064.Gastrectomy	10080.Healthy	10100.Healthy	10105.Healthy	10106.Healthy	10107.Healthy	10112.Gastrectomy	10114.Healthy	10132.Healthy	10156.Gastrectomy	10166.Gastrectomy	10167.Gastrectomy	10176.Gastrectomy	10183.Healthy	10189.Gastrectomy	10192.Gastrectomy	10197.Healthy	10205.Gastrectomy	10207.Healthy	10208.Healthy	10215.Healthy	10219.Healthy	10226.Healthy	10231.Healthy	10234.Gastrectomy	10244.Healthy	10246.Healthy	10250.Healthy	10257.Gastrectomy	10258.Healthy	10291.Gastrectomy	10297.Gastrectomy	10302.Healthy	10304.Healthy	10317.Healthy	10319.Gastrectomy	10321.Gastrectomy	10340.Healthy	10341.Healthy	10342.Gastrectomy	10354.Healthy	10355.Gastrectomy	10357.Healthy	10360.Gastrectomy	10369.Gastrectomy	10378.Healthy	10395.Gastrectomy	10423.Gastrectomy	10433.Gastrectomy	10451.Gastrectomy	10457.Gastrectomy	10463.Healthy	10465.Healthy	10486.Healthy	10487.Healthy	10501.Gastrectomy	10519.Healthy	10537.Healthy	10538.Gastrectomy	10540.Gastrectomy	10543.Healthy	10554.Gastrectomy	10558.Gastrectomy	10563.Gastrectomy	10599.Gastrectomy	10623.Gastrectomy	10632.Healthy	10647.Healthy	10657.Healthy	10659.Healthy	10673.Gastrectomy	10680.Gastrectomy	10684.Healthy	10690.Gastrectomy	10696.Gastrectomy	10698.Healthy	10701.Healthy	10703.Gastrectomy	10733.Healthy	10741.Healthy	10742.Gastrectomy	10751.Gastrectomy	10776.Healthy	10782.Gastrectomy	10784.Healthy	10791.Gastrectomy	10794.Healthy	10807.Healthy	10810.Gastrectomy	10850.Healthy
C01425_Glu-Glu	4.0404225888	4.0404225888	4.0404225888	4.0404225888	10.96097642	4.0404225888	46	29.57797665	4.0404225888	4.0404225888	4.0404225888	7.166788374	15	4.0404225888	100.8831483	43	49	4.0404225888	26	6.871796863	4.0404225888	4.0404225888	222	8.343736318	19.64258613	4.0404225888	4.0404225888	32.32272508	4.0404225888	21.48830153	4.0404225888	4.0404225888	4.0404225888	4.0404225888	16.29051452	4.0404225888	102	174.7745483	12.7133964	162.4686998	7.933681258	113	38.28627593	4.0404225888	4.0404225888	7.101301595	102.0952275	4.0404225888	7.980772863	38	42	7.679571125	129	133	4.0404225888	4.0404225888	45	4.0404225888	4.670248842	4.0404225888	4.0404225888	4.0404225888	5.381593499	7.962078092	20	37	10.74338989	4.0404225888	27	4.0404225888	91	4.0404225888	4.0404225888	7.117825276	15.51430659	34.37809313	4.0404225888	4.0404225888	9.629746769	4.0404225888	4.0404225888	4.489358432	10.32094621	4.0404225888	5.863899641	459.2114711	507	31	49.01748603	4.0404225888	14.3288024	4.0404225888	8.738984878	11.75617853	4.0404225888	39.30528571
C01585_Hexanoate	244.3994112	274.231	539.8714345	157.3301332	324.4546202	79.543930977	79.543930977	79.543930977	79.543930977	79.543930977	79.543930977	79.543930977	332	262.2119547	79.543930977	79.543930977	79.543930977	79.543930977	159	108.1642952	1799.568848	323.6441119	79.543930977	1502.072676	1422.577227	454.4515322	2682.151908	79.543930977	5806.138908	379.7486749	1012.620458	79.543930977	196.6736073	278.5816569	268.2521893	688.7815571	1378	728.4476899	79.543930977	79.543930977	2291.716856	79.543930977	265.1379307	79.543930977	399.6903135	268.268226	79.543930977	538.0160342	88.38214553	258	225	91.1918915	79.543930977	79.543930977	377	240	79.543930977	114.4717867	179.4292296	696.4733125	98.56973831	3667.988197	523.763806	79.543930977	3337	489	217.9575014	334	556	236	893	282	493.6605842	489.4254123	489.395627	1437.934218	2048	822	3465.697915	226	964	675.1210412	477.5073803	1644	258.5199437	406.4969284	79.543930977	79.543930977	291.9500876	548	146.1016194	185	290.9193269	207.0170998	1379	117.805478
C01606_Phthalate	22.01398954	5.1064668144	5.1064668144	5.1064668144	13.26787283	5.1064668144	5.1064668144	5.1064668144	5.1064668144	5.1064668144	19.08011585	5.1064668144	14	14.56848959	5.1064668144	5.1064668144	5.1064668144	5.1064668144	5.1064668144	17.88849763	9.936767196	7.198080058	5.1064668144	14.96255218	22.62730271	11.3968191	5.1064668144	26.19984916	5.1064668144	17.35804386	10.13427799	22.10187325	9.387480462	127.3231918	13.17711101	11.22957618	5.1064668144	27.60533803	15.46478146	13.4341233	28.66764953	5.1064668144	22.57347204	5.1064668144	31.75307656	104.2137127	5.1064668144	14.61456835	5.1064668144	5.1064668144	34	21.67912326	22	5.1064668144	5.1064668144	5.1064668144	5.1064668144	12.29592805	15.74083773	10.94821381	12.6324089	10.30124913	47.32700196	5.673852016	33	5.1064668144	14.1480251	5.1064668144	5.1064668144	5.1064668144	5.1064668144	5.1064668144	9.034055089	16.37467585	92.41240977	5.1064668144	5.1064668144	5.1064668144	14.09011377	5.1064668144	5.1064668144	10.45758592	16.64366544	5.1064668144	5.1064668144	5.1064668144	5.1064668144	5.1064668144	8.199029376	5.1064668144	9.380838942	5.1064668144	11.38983812	13.08850856	19	5.1064668144
C01620_Threonate	38.593947096	713.9189014	364.7954276	302.3239919	1441.355851	672.8071214	38.593947096	570.5169483	38.593947096	38.593947096	400.4272614	319.0502297	38.593947096	779.3686846	394.3514359	2098	2333	7008	6082	228.9067735	558.4700286	38.593947096	12993	38.593947096	38.593947096	38.593947096	38.593947096	38.593947096	38.593947096	141.0950813	95.02367686	38.593947096	1097.640334	13414.92396	38.593947096	38.593947096	38.593947096	38.593947096	38.593947096	1320.166162	133.5097323	3424	2094.290658	439.8470729	644.1740615	1645.233881	3004.163056	1887.124855	38.593947096	38.593947096	38.593947096	234.8589259	38.593947096	1665	38.593947096	4619	5314	7219.688186	42.88216344	9774.418492	2592.92914	4015.317312	46.02933969	462.9791559	4496	38.593947096	1231.553368	36606	5146	4736	2537	1734	3056.006495	3567.452172	4689.487533	212.2966445	38.593947096	3633	619.4188279	4496	2936	38.593947096	1839.399358	38.593947096	234.6720293	206.3149613	38.593947096	38.593947096	565.9774279	38.593947096	268.1215492	38.593947096	226.719555	38.593947096	1189	294.4880139
C01672_Cadaverine	9885.371827	1354.601096	214.3449769	237.4145444	18011.94303	306.4031612	13652	2035.033204	6350.381474	219.5238613	2049.201258	2805.48395	2271	246.9872318	624.8167793	18762	8552	1602	5770	324.2761351	493.3016654	120.5221216	5503	50.88444067	7063.499326	8872.265388	3722.425415	1606.080441	3305.233221	15156.06877	1730.835455	4311.919758	12723.03657	4564.81907	272.8738119	4260.876007	7182	39.67546598	3618.747867	3592.92894	89.10088959	5826	6652.346074	153.7392701	4378.973079	7502.594954	295.3877851	7462.507799	43.99105279	21481	1554	3059.429843	3520	7343	306	3773	3519	739.7884811	11.70083515	272.5593308	1265.039263	3571.834004	94.09825435	10624.68358	742	9042	764.2785959	1449	16090	2728	14835	2530	819.3845008	4141.627412	30809.17809	11175.13075	912	4990	21.86839693	4237	493	4164.409032	8686.930283	7006	98.50257216	1886.283497	500	426	8856.546479	8267	2241.47578	1199	414.5519047	3687.96873	4345	8071.984594
C01736_Purine riboside	3.2915367171	3.2915367171	3.2915367171	6.81099159	3.2915367171	3.2915367171	3.2915367171	3.2915367171	11.92038493	10.40746213	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	25.46855384	6.615786085	5.107026231	3.2915367171	15.23300719	4.511096703	8.189898403	12.10300502	18.86754826	3.2915367171	3.2915367171	3.657263019	13.8019675	3.2915367171	17.07177037	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	12.97346018	19.7183013	3.2915367171	3.2915367171	3.2915367171	3.2915367171	8.007045468	3.2915367171	3.2915367171	4.27914763	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	11.53254666	17.55262484	8.441478465	7.27175411	3.2915367171	11.57086739	9.179204816	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	3.2915367171	11.34949681
C01744_3-(4-Hydroxyphenyl)propionate	69.557769207	69.557769207	69.557769207	69.557769207	3542.349188	69.557769207	5810	69.557769207	69.557769207	69.557769207	558.7420407	69.557769207	233	2717.078706	69.557769207	1094	69.557769207	69.557769207	2280	1180.094193	69.557769207	69.557769207	69.557769207	69.557769207	1367.410793	4656.590642	1081.49829	872.8387571	1388.032949	317.3295375	656.1256036	343.2743969	359.2432448	13320.34572	1245.661282	2600.910614	69.557769207	69.557769207	547.2474025	1172.240687	69.557769207	69.557769207	1134.036799	7503.492909	11971.891	77.28641023	69.557769207	247.6195846	69.557769207	69.557769207	69.557769207	2809.93773	537	611	69.557769207	69.557769207	69.557769207	4774.836387	289.1566689	69.557769207	1886.589184	156.0658817	5443.764504	706.0425986	69.557769207	69.557769207	2800.197121	69.557769207	1285	69.557769207	1080	69.557769207	130.0471083	1890.902289	5250.38465	3573.378436	530	69.557769207	69.557769207	276	69.557769207	69.557769207	69.557769207	2815	69.557769207	69.557769207	69.557769207	69.557769207	801.813784	395	69.557769207	5792	69.557769207	751.8360704	69.557769207	69.557769207
C01879_5-Oxoproline	171.3553843	112.5881573	166.7711552	106.8583184	94.44508879	91.18231827	853	3413.023153	139.2000354	182.9079115	41.885775054	483.4459575	532	76.65114913	131.6607413	756	1719	261	1062	4248.280703	154.6523278	118.1458876	5065	118.6606012	112.4701437	86.92824651	133.0790616	77.71376198	136.3936319	109.549094	79.59841683	112.6379469	4690.425922	155.7250052	122.7184051	63.13730836	992	233.7414659	74.4184974	59.85409709	72.97092196	1298	205.8612529	125.6835271	111.5581262	245.8006333	667.6105461	121.8086904	62.44789676	1432	1826	87.55985386	735	1461	6900	3875	964	159.2704021	199.6456547	117.1288989	46.53975006	51.76864137	136.9194648	154.6287109	5450	1338	435.5589914	147	4360	509	1799	218	485.6334094	41.885775054	41.885775054	41.885775054	565	2958	41.885775054	1678	3886	41.885775054	41.885775054	41.885775054	41.885775054	298.167081	2486	41.885775054	165.5471372	196	41.885775054	475	252.4907874	109.4666257	169	706.9231276
C01921_Glycocholate	11.723890869	11.723890869	11.723890869	11.723890869	379.0786775	11.723890869	11.723890869	1436.22401	11.723890869	11.723890869	72.25804249	1894.668575	11.723890869	1470.52525	32724.48333	11.723890869	22	393	11.723890869	311.954828	11.723890869	39.08528493	11.723890869	11.723890869	853.1945149	11.723890869	11.723890869	11.723890869	315.0419669	11.723890869	11.723890869	101.4841423	2604.427605	3687.997893	27.28597868	119.6416913	11.723890869	11.723890869	29.5855588	1767.414177	11.723890869	1890	135.6238109	32.26906092	213.4314845	35.45488981	7419.959199	92.64979261	11.723890869	11.723890869	90	29.92835618	11.723890869	246	11.723890869	11.723890869	77	641.265996	11.723890869	11.723890869	11.723890869	11.723890869	22.19056861	19.88470457	11.723890869	921	1376.166582	118	11.723890869	11.723890869	1539	31	1635.521837	652.8071119	1554.386037	133.8069024	54	91	1393.203113	11.723890869	11.723890869	143.8893238	13.02654541	11.723890869	88.47857511	22531.58528	48673	17693	4122.332779	11.723890869	326.637327	143	47.09252766	832.85246	11.723890869	5074.328762
C01996_Acetylcholine	1.58079322	3.655591733	0.7717843759	0.225	0.7397141231	2.862523337	0.25	2.203709036	5.032361295	0.225	0.225	1.237406461	0.225	0.225	0.225	0.225	0.225	0.225	0.225	2.147710784	0.225	0.8791359585	0.225	0.225	0.6055806776	0.225	0.225	0.9557665312	1.86693566	0.225	0.225	0.225	3.383699763	1.918605461	5.289452296	1.439188875	0.225	0.225	0.7097329452	1.467891681	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.225	0.6249283877	0.225	0.225	0.225	26.78611904	2.768989579	0.225	0.225	4.819175125	0.225	0.225	0.225	0.225	0.225	1.590006443	0.4366723516	0.4185884643	39.54577611	0.225	0.225	0.6227609311	0.225	0.225	2.330962498	0.3415240446	0.225	0.9249802235	0.5630462071	0.225	0.225	1.752362704	0.225	2.649617616	0.225	0.225	0.225	0.225	1.999970433
C02037_Gly-Gly	23.22325418	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	72.19440636	28.86222452	3.3031970748	3.3031970748	49.68387867	3.3031970748	3.3031970748	121.7416876	3.3031970748	61	3.3031970748	46	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	19.9714528	3.3031970748	3.3031970748	36.08129361	3.3031970748	78.33094116	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	180	14.87481712	35.24730108	3.3031970748	9.921920297	184.9881155	63.66495716	3.3031970748	57	3.3031970748	3.670218972	115	273	3.3031970748	3.3031970748	3.3031970748	18.77381826	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	26.36874669	3.3031970748	3.3031970748	20.80739974	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	15.44022244	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	329.8705947	264	3.3031970748	137.3770659	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748	3.3031970748
C02155_Gly-Leu	85.08712208	55.27554408	54.3401235	28.17937504	119.3270561	58.36135871	63	193.0025355	34.19430898	105.3927754	39.86092026	25.21632468	108	32.44067398	210.3234908	98	233	14	136	9.592372827	62.1871145	113.0710035	153	45.34345141	35.06141288	116.2728481	73.5697572	51.13328404	67.00424115	356.1732911	50.97036885	82.66567953	49.10426117	210.7384571	92.12772883	93.15029819	233	36.35122259	52.24782687	48.66244787	61.77585057	326	130.67486	9.592372827	100.5173103	9.592372827	301.998243	9.592372827	42.70907196	155	201	9.592372827	269	278	76	218	186	9.592372827	9.592372827	66.46273185	110.4850593	96.4851632	59.10499919	71.77932376	187	108	97.14165801	29	134	101	141	89	67.16545642	71.79448993	60.19133655	44.0786886	63	156	80.45361681	112	202	59.554161	80.79080848	40	106.9985327	744.110419	501	49	264.64659	116	56.13273704	52	70.97569	10.65819203	34	24.00326981
